,ano,mes,dia,tipo_dia,festivo,fin_semana,y
8962,2020,2,1,5,0,0,404.3233333333333
7256,2015,6,1,0,0,1,195.071138
8538,2018,12,4,1,0,1,101.11946633333334
6958,2014,8,7,3,1,1,257.703955
7330,2015,8,14,4,0,1,215.4580126666667
2922,2003,7,20,6,1,0,71.92701066666667
1525,1999,9,22,2,0,1,32.29538
3244,2004,6,6,6,0,0,52.17797633333333
7720,2016,9,7,2,0,1,269.82027166666666
2353,2001,12,28,4,0,1,30.305869
6980,2014,8,29,4,0,1,178.06031233333331
2568,2002,7,31,2,0,1,46.69215833333334
9276,2020,12,11,4,0,1,146.04166666666666
1334,1999,3,15,0,0,1,20.644905
6020,2012,1,12,3,0,1,55.653199666666666
5734,2011,4,1,4,0,1,85.13073133333334
8231,2018,1,31,2,0,1,121.91969866666666
6291,2012,10,9,1,0,1,192.520942
3511,2005,2,28,0,0,1,71.97370566666667
4674,2008,5,6,1,0,1,117.706385
8647,2019,3,23,5,0,0,204.555828
7203,2015,4,9,3,0,1,188.15099333333333
2893,2003,6,21,5,0,0,64.74853
1252,1998,12,23,2,0,1,21.51065
4430,2007,9,5,2,0,1,74.55109666666667
1381,1999,5,1,5,1,0,21.576285
2856,2003,5,15,3,0,1,74.041277
3207,2004,4,30,4,0,1,68.313838
5966,2011,11,19,5,0,0,65.71209599999999
7942,2017,4,17,0,0,1,92.13608333333332
2558,2002,7,21,6,0,0,44.01103333333333
8784,2019,8,7,2,1,1,150.4256773333333
7006,2014,9,24,2,0,1,142.14581433333333
319,1996,6,3,0,0,1,1.8479166666666669
5014,2009,4,11,5,0,0,75.207555
4119,2006,10,29,6,0,0,92.13075533333334
3790,2005,12,4,6,0,0,74.410093
5660,2011,1,17,0,0,1,89.77492766666667
5365,2010,3,28,6,0,0,181.26958666666667
6892,2014,6,2,0,1,1,371.1812396666666
989,1998,4,4,5,0,0,70.39045166666666
4450,2007,9,25,1,0,1,73.69713833333333
7387,2015,10,10,5,0,0,966.802428
6524,2013,5,30,3,0,1,87.01967833333333
7945,2017,4,20,3,0,1,112.687545
4282,2007,4,10,1,0,1,92.784511
4504,2007,11,18,6,0,0,57.53679666666667
6335,2012,11,22,3,0,1,140.606609
5750,2011,4,17,6,0,0,37.493924
1980,2000,12,20,2,0,1,55.67959966666666
3675,2005,8,11,3,0,1,97.11470066666668
7201,2015,4,7,1,0,1,182.08917800000003
7444,2015,12,6,6,0,0,737.9605846666667
4719,2008,6,20,4,0,1,72.784115
1039,1998,5,24,6,0,0,23.313076666666664
6814,2014,3,16,6,0,0,128.24755966666666
9307,2021,1,11,0,1,1,158.79
